index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,Intercept,0.64252064351158,Intercept,596.4255383677781,596.0,-0.42553836777813103,653.0
1,grade:A,0.16960161151382125,grade,6.658693583135802,7.0,0.3413064168641977,7.0
2,grade:B,0.08138750803897198,grade,3.1953380200184753,3.0,-0.19533802001847533,3.0
3,grade:C,0.13089243491616379,grade,5.138940654383192,5.0,-0.13894065438319192,5.0
4,grade:D,0.2533237397734963,grade,9.945690641909271,10.0,0.054309358090728566,10.0
5,grade:E,0.18872745954277326,grade,7.409589523367096,7.0,-0.40958952336709586,7.0
6,grade:F,0.3195499114669004,grade,12.545782590060268,13.0,0.4542174099397318,13.0
7,home_ownership:OWN,-0.0712020305638606,home_ownership,-2.795448108010349,-3.0,-0.20455189198965096,-3.0
8,home_ownership:OTHER_NONE_RENT,-0.1504259552401316,home_ownership,-5.905842131770734,-6.0,-0.0941578682292663,-6.0
9,verification_status:Source Verified,-0.13685150677022875,verification_status,-5.37289853462936,-5.0,0.3728985346293596,-5.0
10,verification_status:Verified,-0.17979009975584453,verification_status,-7.058701700237251,-7.0,0.05870170023725141,-7.0
11,purpose:debt_consolidation,-0.12506717954433536,purpose,-4.910236515204891,-5.0,-0.08976348479510943,-5.0
12,purpose:credit_card,-0.06627906410615353,purpose,-2.602168546163406,-3.0,-0.39783145383659413,-3.0
13,purpose:educ__ren_en__sm_b__mov,-0.3066362000218123,purpose,-12.038780051780327,-12.0,0.03878005178032673,-12.0
14,purpose:vacation__house__wedding__med__oth,0.10354139711201799,purpose,4.065117249682059,4.0,-0.0651172496820589,4.0
15,term:36,-0.08041857597569528,term,-3.157296979873587,-3.0,0.15729697987358682,-3.0
16,int_rate:<7.071,2.129026670210697,int_rate,83.58727314393279,84.0,0.41272685606720927,84.0
17,int_rate:7.071-10.374,1.6180568414729906,int_rate,63.52619300782514,64.0,0.47380699217485756,64.0
18,int_rate:10.374-13.676,1.2216812810303512,int_rate,47.964174597309196,48.0,0.03582540269080425,48.0
19,int_rate:13.676-15.74,0.7444210763661351,int_rate,29.22656099848605,29.0,-0.22656099848605038,29.0
20,int_rate:15.74-20.281,0.5061184614115783,int_rate,19.870611612869055,20.0,0.1293883871309447,20.0
21,annual_inc:missing,0.12675252664081738,annual_inc,4.976404576914533,5.0,0.02359542308546736,5.0
22,"annual_inc:<28,555",-0.1293293754125821,annual_inc,-5.077573700415832,-5.0,0.07757370041583211,-5.0
